ticket_id,channel,sender,timestamp,complaint
CS-2001,chat,customer,2026-03-15T09:00:00Z,"Hello, my credit card was charged twice for order #88102. Can you please refund the duplicate $55 charge?"
CS-2001,chat,agent,2026-03-15T09:05:00Z,"Hi there! I can see the duplicate authorization on your account. I have initiated a refund of $55 back to your card."
CS-2001,chat,customer,2026-03-15T09:06:00Z,"Thank you so much! That was really fast and helpful."
CS-2002,ticket,customer,2026-03-15T10:00:00Z,"Where is my delivery? Order #77319 was supposed to arrive last Thursday."
CS-2002,ticket,agent,2026-03-15T10:30:00Z,"We apologize for the delay. The courier experienced a regional transit delay. It is out for delivery today."
CS-2003,email,customer,2026-03-15T11:00:00Z,"I cannot sign in to my account. It keeps telling me that my password is invalid."
CS-2003,email,agent,2026-03-15T11:15:00Z,"We have dispatched a secure password reset link to your registered email address."
CS-2004,chat,customer,2026-03-15T12:00:00Z,"The package arrived today but the glass display was broken and cracked."
CS-2004,chat,agent,2026-03-15T12:10:00Z,"We are so sorry about the damaged item. A free replacement order has been scheduled for dispatch."
CS-2005,ticket,customer,2026-03-15T13:00:00Z,"I requested a refund 14 days ago and still no response or update from your team!"
CS-2005,ticket,customer,2026-03-15T14:00:00Z,"Writing again for the third time, why is my refund still not processed?!"
CS-2006,chat,customer,2026-03-15T15:00:00Z,"The iOS app keeps crashing immediately after I log in on my iPhone 15."
CS-2006,chat,agent,2026-03-15T15:15:00Z,"Please update to version 4.2.1 from the App Store which includes a hotfix for this crash."
CS-2007,form,customer,2026-03-15T16:00:00Z,"The phone agent was extremely rude and hung up on me while I was explaining my problem."
CS-2008,chat,customer,2026-03-15T17:00:00Z,"I want to cancel my annual membership renewal before next month's billing date."
CS-2008,chat,agent,2026-03-15T17:10:00Z,"Your auto-renewal has been successfully cancelled. You will retain access until the end of your billing cycle."
CS-2009,ticket,customer,2026-03-15T18:00:00Z,"Someone transferred ₹25,000 from my account without my permission! Block all transactions immediately!"
CS-2010,email,customer,2026-03-15T19:00:00Z,"Is your cloud server experiencing an outage? All our API requests are failing with 503."
