ticket_id,speaker_role,message_body,timestamp_utc
TICK-1001,customer,"<p>Hello support,</p><p>I was charged ₹1,499 twice for my monthly premium plan on September 15th. 😡 Please issue a refund immediately.</p><div>Sent from my iPhone</div>",2026-09-15T08:12:00Z
TICK-1001,agent,"Dear customer, we apologize for the inconvenience. We have verified the duplicate charge and initiated a refund of ₹1,499 to your original payment method. Best regards, Support Team",2026-09-15T08:30:00Z
TICK-1001,customer,"Thank you so much for the quick resolution! 🙏",2026-09-15T08:45:00Z
TICK-1002,customer,"<div>Help! I cannot access my dashboard. When I enter my email it says “Account locked due to multiple invalid attempts”.</div><br/>> Previous ticket #8941 closed without fix.",2026-09-15T09:10:00Z
TICK-1002,agent,"Hello, we have unlocked your account and sent a password reset link to your registered email address.",2026-09-15T09:25:00Z
TICK-1003,customer,"",2026-09-15T09:30:00Z
TICK-1004,customer,"---------- Forwarded message ---------\nFrom: billing-alerts@store.com\nDate: Mon, Sep 14, 2026 at 10:00 AM\nSubject: Invoice #44812\n\nI need a revised VAT invoice for my business with tax ID €820.00 inclusive of VAT. Thanks!",2026-09-15T10:05:00Z
,customer,"I placed order #ORD-9921 three days ago, but the tracking page still says 'Pending shipment'. Can you check the status? 📦",2026-09-15T10:40:00Z
,agent,"Hi there! Your order is currently being packed in our warehouse and will ship by 5 PM today.",2026-09-15T10:55:00Z
TICK-1006,customer,"   ",2026-09-15T11:00:00Z
TICK-1007,customer,"Bonjour, mon colis n'est pas encore arrivé. Le numéro de suivi indique qu'il est bloqué au centre de tri. Merci de vérifier.",2026-09-15T11:20:00Z
TICK-1007,agent,"Bonjour, nous avons contacté le transporteur pour débloquer votre colis. Vous recevrez une mise à jour sous 24h.",2026-09-15T11:50:00Z
TICK-1008,customer,"<span style='color:red;'>Bug report:</span> The API endpoint <code>/v1/telemetry</code> is returning 502 Bad Gateway intermittently when payload size exceeds 2MB.",2026-09-15T12:00:00Z
TICK-1008,agent,"Thanks for reporting this. Our engineering team deployed a fix for the reverse proxy buffer limits.",2026-09-15T12:45:00Z
TICK-1009,customer,"<div>How do I update my credit card details on file? The settings button is greyed out.</div>\n---\nSent from my Samsung Galaxy device",2026-09-15T13:10:00Z
TICK-1010,customer,,2026-09-15T13:25:00Z
,customer,"नमस्ते, मुझे अपना ऑर्डर कैंसिल करना है और रिफंड चाहिए। कृपया सहायता करें।",2026-09-15T13:30:00Z
TICK-1012,customer,"<div>Good morning,</div>\n<div>We need to upgrade our enterprise tier from 50 seats to 100 seats. Could an account manager contact us with pricing? $5,000 budget approved.</div>\n\nBest regards,\nMichael Chang\nDirector of IT",2026-09-15T14:00:00Z
TICK-1012,agent,"Hello Michael, our enterprise team lead has been assigned and will schedule a call with you this afternoon.",2026-09-15T14:20:00Z
TICK-1013,customer,"<p>Can someone explain this $15.00 international transaction fee on my receipt? I thought local billing was supported.</p>",2026-09-15T14:45:00Z
